"date","cases","cumulative_cases"
"2020-01-23",2,2
"2020-01-24",1,3
"2020-01-25",0,3
"2020-01-26",0,3
"2020-01-27",0,3
"2020-01-28",0,3
"2020-01-29",1,4
"2020-01-30",0,4
"2020-01-31",0,4
"2020-02-01",0,4
"2020-02-02",0,4
"2020-02-03",0,4
"2020-02-04",0,4
"2020-02-05",1,5
"2020-02-06",1,6
"2020-02-07",0,6
"2020-02-08",0,6
"2020-02-09",0,6
"2020-02-10",2,8
"2020-02-11",0,8
"2020-02-12",0,8
"2020-02-13",0,8
"2020-02-14",0,8
"2020-02-15",0,8
"2020-02-16",0,8
"2020-02-17",0,8
"2020-02-18",1,9
"2020-02-19",0,9
"2020-02-20",0,9
"2020-02-21",1,10
"2020-02-22",0,10
"2020-02-23",0,10
"2020-02-24",2,12
"2020-02-25",1,13
"2020-02-26",1,14
"2020-02-27",2,16
"2020-02-28",5,21
"2020-02-29",4,25
"2020-03-01",2,27
"2020-03-02",0,27
"2020-03-03",7,34
"2020-03-04",1,35
"2020-03-05",13,48
"2020-03-06",10,58
"2020-03-07",6,64
"2020-03-08",10,74
"2020-03-09",13,87
"2020-03-10",28,115
"2020-03-11",47,162
"2020-03-12",53,215
"2020-03-13",62,277
"2020-03-14",90,367
"2020-03-15",88,455
"2020-03-16",130,585
"2020-03-17",143,728
"2020-03-18",150,878
"2020-03-19",186,1064
"2020-03-20",276,1340
"2020-03-21",279,1619
"2020-03-22",350,1969
"2020-03-23",458,2427
"2020-03-24",604,3031
"2020-03-25",570,3601
"2020-03-26",667,4268
"2020-03-27",878,5146
"2020-03-28",883,6029
"2020-03-29",785,6814
"2020-03-30",1085,7899
"2020-03-31",1252,9151
"2020-04-01",1469,10620
"2020-04-02",1278,11898
"2020-04-03",1346,13244
"2020-04-04",1119,14363
"2020-04-05",1109,15472
"2020-04-06",1120,16592
"2020-04-07",1202,17794
"2020-04-08",1429,19223
"2020-04-09",1178,20401
"2020-04-10",1337,21738
"2020-04-11",1165,22903
"2020-04-12",1312,24215
"2020-04-13",1551,25766
"2020-04-14",1633,27399
"2020-04-15",1870,29269
"2020-04-16",1688,30957
"2020-04-17",1888,32845
"2020-04-18",1702,34547
"2020-04-19",1535,36082
"2020-04-20",1549,37631
"2020-04-21",1563,39194
"2020-04-22",1583,40777
